Rnd,Pick,Pick Value,Tm,Player,Pos,Age,From,To,AP1,PB,St,wAV,DrAV,wAV vs Expected,wAV vs Expected and Year,Expected,G,Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo,Int,Sk,College/Univ
1,2,2600,LAR,Jason Smith,T,23,2009,2012,0,0,2,10,9,-45.03970969,-52.26157892,62.26157892,45,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor
1,2,2600,DET,Ndamukong Suh,DT,23,2010,2022,3,5,12,100,59,44.96029031,38.85321307,61.14678693,199,0,0,0,0,0,0,0,0,0,0,0,392,1,71.5,Nebraska
1,2,2600,DEN,Von Miller,LB,22,2011,2022,3,8,10,103,97,47.96029031,43.0854499,59.9145501,161,0,0,0,0,0,0,0,0,0,0,0,431,2,123.5,Texas A&M
1,2,2600,WAS,Robert Griffin III,QB,22,2012,2020,0,1,3,36,31,-19.03970969,-22.54103653,58.54103653,56,799,1268,9271,43,30,307,1809,10,0,0,0,,,,Baylor
1,2,2600,JAX,Luke Joeckel,T,21,2013,2017,0,0,3,21,16,-34.03970969,-35.99480028,56.99480028,50,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M
1,2,2600,LAR,Greg Robinson,T,21,2014,2019,0,0,5,24,13,-31.03970969,-31.2332694,55.2332694,83,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn
1,2,2600,TEN,Marcus Mariota,QB,21,2015,2022,0,0,5,54,43,-1.039709693,0.8030042169,53.19699578,87,1312,2095,15656,92,54,349,2012,17,2,62,1,1,,,Oregon
1,2,2600,PHI,Carson Wentz,QB,23,2016,2022,0,1,6,59,43,3.960290307,8.200262812,50.79973719,93,2056,3284,22129,151,66,337,1362,10,2,11,0,1,,,North Dakota St.
1,2,2600,CHI,Mitchell Trubisky,QB,23,2017,2022,0,1,4,36,33,-19.03970969,-11.91020577,47.91020577,64,1133,1765,11904,68,43,222,1119,11,0,0,0,,,,North Carolina
1,2,2600,NYG,Saquon Barkley,RB,21,2018,2022,0,2,4,38,38,-17.03970969,-6.315572089,44.31557209,60,0,0,0,0,0,954,4249,29,247,1820,8,,,,Penn St.
1,2,2600,SFO,Nick Bosa,DE,21,2019,2022,1,3,3,41,41,-14.03970969,1.360073697,39.6399263,51,0,0,0,0,0,0,0,0,0,0,0,116,1,43,Ohio St.
1,2,2600,WAS,Chase Young,DE,21,2020,2022,0,1,1,19,19,-36.03970969,-14.13112431,33.13112431,27,0,0,0,0,0,0,0,0,0,0,0,50,,9,Ohio St.
1,2,2600,NYJ,Zach Wilson,QB,22,2021,2022,0,0,2,9,9,-46.03970969,-13.94921595,22.94921595,22,345,625,4022,15,18,57,287,5,1,2,1,1,,,BYU
1,2,2600,DET,Aidan Hutchinson,DE,22,2022,2022,0,0,1,8,8,-47.03970969,5.599458853,2.400541147,17,0,0,0,0,0,0,0,0,0,0,0,34,3,9.5,Michigan
1,3,2200,WAS,Chris Samuels,T,23,2000,2009,0,6,9,63,63,12.02084142,-1.073321036,64.07332104,141,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,3,2200,CLE,Gerard Warren,DT,23,2001,2011,0,0,9,49,25,-1.979158579,-14.54203691,63.54203691,163,0,0,0,0,0,0,0,0,0,0,0,253,,36.5,Florida
1,3,2200,DET,Joey Harrington,QB,23,2002,2007,0,0,6,31,23,-19.97915858,-31.97839369,62.97839369,81,1424,2538,14693,79,85,142,402,0,3,8,0,,,,Oregon
1,3,2200,HOU,Andre Johnson,WR,22,2003,2016,2,7,12,94,92,43.02084142,31.62126754,62.37873246,193,0,0,0,0,0,23,54,0,1062,14185,70,1,,,Miami (FL)
1,3,2200,ARI,Larry Fitzgerald,WR,21,2004,2020,1,11,17,93,93,42.02084142,31.26123007,61.73876993,263,2,4,53,1,0,20,68,0,1432,17492,121,,,,Pittsburgh
1,3,2200,CLE,Braylon Edwards,WR,22,2005,2012,0,1,5,41,27,-9.979158579,-20.05345198,61.05345198,112,0,1,0,0,0,4,11,0,359,5522,40,,,,Michigan
1,3,2200,TEN,Vince Young,QB,23,2006,2011,0,2,4,33,31,-17.97915858,-27.31676247,60.31676247,60,755,1304,8964,46,51,282,1459,12,0,0,0,,,,Texas
1,3,2200,CLE,Joe Thomas,T,22,2007,2017,6,10,10,85,85,34.02084142,25.47853005,59.52146995,167,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
1,3,2200,ATL,Matt Ryan,QB,23,2008,2022,1,4,15,146,144,95.02084142,87.34121321,58.65878679,234,5551,8464,62792,381,183,514,1539,13,1,5,1,1,,,Boston Col.
1,3,2200,KAN,Tyson Jackson,DE,23,2009,2016,0,0,7,34,23,-16.97915858,-23.71790235,57.71790235,122,0,0,0,0,0,0,0,0,0,0,0,167,,9,LSU
1,3,2200,TAM,Gerald McCoy,DT,22,2010,2021,1,6,10,69,65,18.02084142,12.31466972,56.68533028,140,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma
1,3,2200,BUF,Marcell Dareus,DT,21,2011,2019,1,2,7,56,47,5.020841421,0.4560246706,55.54397533,121,0,0,0,0,0,0,0,0,0,0,0,255,,37.5,Alabama
1,3,2200,CLE,Trent Richardson,RB,22,2012,2014,0,0,3,17,7,-33.97915858,-37.27176332,54.27176332,46,0,0,0,0,0,614,2032,17,113,912,2,,,,Alabama
1,3,2200,MIA,Dion Jordan,DE,23,2013,2020,0,0,0,9,3,-41.97915858,-43.83956754,52.83956754,63,0,0,0,0,0,0,0,0,0,0,0,82,,13.5,Oregon
1,3,2200,JAX,Blake Bortles,QB,22,2014,2019,0,0,5,44,44,-6.979158579,-7.207955881,51.20795588,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,Central Florida
1,3,2200,JAX,Dante Fowler,LB,21,2015,2022,0,0,2,24,5,-26.97915858,-25.32186476,49.32186476,108,0,0,0,0,0,0,0,0,0,0,0,159,,41,Florida
1,3,2200,LAC,Joey Bosa,DE,21,2016,2022,0,4,6,49,49,-1.979158579,1.898587414,47.10141259,84,0,0,0,0,0,0,0,0,0,0,0,221,,60.5,Ohio St.
1,3,2200,SFO,Solomon Thomas,DE,22,2017,2022,0,0,2,17,15,-33.97915858,-27.42499448,44.42499448,82,0,0,0,0,0,0,0,0,0,0,0,103,,10,Stanford
1,3,2200,NYJ,Sam Darnold,QB,21,2018,2022,0,0,4,25,16,-25.97915858,-16.09547794,41.09547794,56,1054,1765,11767,61,55,188,745,12,0,0,0,,,,USC
1,3,2200,NYJ,Quinnen Williams,DT,21,2019,2022,1,1,4,32,32,-18.97915858,-4.764677808,36.76467781,57,0,0,0,0,0,0,0,0,0,0,0,118,,27.5,Alabama
1,3,2200,DET,Jeff Okudah,DB,21,2020,2022,0,0,1,7,7,-43.97915858,-23.73592332,30.73592332,25,0,0,0,0,0,0,0,0,0,0,0,103,2,,Ohio St.
1,3,2200,SFO,Trey Lance,QB,21,2021,2022,0,0,0,4,4,-46.97915858,-17.30496725,21.30496725,8,56,102,797,5,3,54,235,1,0,0,0,1,,,North Dakota St.
